	start_time	end_time	type_from_nn	type_from_doctor	homogeneity
584	34650.0	34710.0	-1	4	0.0
12	39240.0	39300.0	-1	3	0.0
1071	67260.0	67320.0	-1	0	0.0
3	31890.0	31950.0	-1	2	0.0
817	51990.0	52050.0	-1	0	0.0
1173	73380.0	73440.0	-1	0	0.0
1205	75300.0	75360.0	-1	0	0.0
449	25440.0	25500.0	-1	0	0.0
806	51300.0	51360.0	-1	0	0.0
139	6840.0	6900.0	-1	0	0.0
530	30300.0	30360.0	-1	0	0.0
335	18600.0	18660.0	-1	0	0.0
1152	72120.0	72180.0	-1	0	0.0
748	47160.0	47220.0	-1	2	0.0
79	3240.0	3300.0	-1	0	0.0
598	35550.0	35610.0	-1	3	0.0
719	45180.0	45240.0	-1	-1	0.0
47	1320.0	1380.0	-1	0	0.0
676	41790.0	41850.0	-1	2	0.0
1158	72480.0	72540.0	-1	0	0.0
421	23760.0	23820.0	-1	0	0.0
1243	77580.0	77640.0	-1	0	0.0
989	62340.0	62400.0	-1	0	0.0
758	47760.0	47820.0	-1	2	0.0
977	61620.0	61680.0	-1	0	0.0
479	27240.0	27300.0	-1	0	0.0
616	36840.0	36900.0	-1	1	0.0
456	25860.0	25920.0	-1	0	0.0
987	62220.0	62280.0	-1	0	0.0
70	2700.0	2760.0	-1	0	0.0
169	8640.0	8700.0	-1	0	0.0
968	61080.0	61140.0	-1	0	0.0
1273	79380.0	79440.0	-1	0	0.0
778	49440.0	49500.0	-1	-1	0.0
1089	68340.0	68400.0	-1	0	0.0
328	18180.0	18240.0	-1	0	0.0
1271	79260.0	79320.0	-1	0	0.0
880	55800.0	55860.0	-1	0	0.0
429	24240.0	24300.0	-1	0	0.0
474	26940.0	27000.0	-1	0	0.0
91	3960.0	4020.0	-1	0	0.0
1103	69180.0	69240.0	-1	0	0.0
1218	76080.0	76140.0	-1	0	0.0
197	10320.0	10380.0	-1	0	0.0
154	7740.0	7800.0	-1	0	0.0
1090	68400.0	68460.0	-1	0	0.0
1169	73140.0	73200.0	-1	0	0.0
1163	72780.0	72840.0	-1	0	0.0
853	54180.0	54240.0	-1	0	0.0
1266	78960.0	79020.0	-1	0	0.0
1240	77400.0	77460.0	-1	0	0.0
590	35010.0	35070.0	-1	4	0.0
1167	73020.0	73080.0	-1	0	0.0
1200	75000.0	75060.0	-1	0	0.0
1126	70560.0	70620.0	-1	0	0.0
953	60180.0	60240.0	-1	0	0.0
515	29400.0	29460.0	-1	0	0.0
765	48300.0	48360.0	-1	2	0.0
1231	76860.0	76920.0	-1	0	0.0
271	14760.0	14820.0	-1	0	0.0
720	45240.0	45300.0	-1	-1	0.0
265	14400.0	14460.0	-1	0	0.0
517	29520.0	29580.0	-1	0	0.0
900	57000.0	57060.0	-1	0	0.0
87	3720.0	3780.0	-1	0	0.0
451	25560.0	25620.0	-1	0	0.0
66	2460.0	2520.0	-1	0	0.0
728	45780.0	45840.0	-1	0	0.0
460	26100.0	26160.0	-1	0	0.0
395	22200.0	22260.0	-1	0	0.0
160	8100.0	8160.0	-1	0	0.0
772	49020.0	49080.0	-1	2	0.0
1268	79080.0	79140.0	-1	0	0.0
366	20460.0	20520.0	-1	0	0.0
94	4140.0	4200.0	-1	0	0.0
262	14220.0	14280.0	-1	0	0.0
341	18960.0	19020.0	-1	0	0.0
692	42900.0	42960.0	-1	2	0.0
357	19920.0	19980.0	-1	0	0.0
1047	65820.0	65880.0	-1	0	0.0
618	36960.0	37020.0	-1	1	0.0
518	29580.0	29640.0	-1	0	0.0
1236	77160.0	77220.0	-1	0	0.0
629	37710.0	37770.0	-1	2	0.0
523	29880.0	29940.0	-1	0	0.0
27	120.0	180.0	-1	0	0.0
482	27420.0	27480.0	-1	0	0.0
281	15360.0	15420.0	-1	0	0.0
786	49920.0	49980.0	-1	-1	0.0
371	20760.0	20820.0	-1	0	0.0
142	7020.0	7080.0	-1	0	0.0
272	14820.0	14880.0	-1	0	0.0
589	34950.0	35010.0	-1	4	0.0
657	40500.0	40560.0	-1	-1	0.0
704	43830.0	43890.0	-1	2	0.0
36	660.0	720.0	-1	0	0.0
586	34770.0	34830.0	-1	4	0.0
1155	72300.0	72360.0	-1	0	0.0
1074	67440.0	67500.0	-1	0	0.0
799	50820.0	50880.0	-1	0	0.0
1035	65100.0	65160.0	-1	0	0.0
133	6480.0	6540.0	-1	0	0.0
2	31830.0	31890.0	-1	3	0.0
1011	63660.0	63720.0	-1	0	0.0
190	9900.0	9960.0	-1	0	0.0
407	22920.0	22980.0	-1	0	0.0
800	50880.0	50940.0	-1	0	0.0
1023	64380.0	64440.0	-1	0	0.0
368	20580.0	20640.0	-1	0	0.0
525	30000.0	30060.0	-1	0	0.0
382	21420.0	21480.0	-1	0	0.0
457	25920.0	25980.0	-1	0	0.0
743	46740.0	46800.0	-1	2	0.0
6	33330.0	33390.0	-1	3	0.0
879	55740.0	55800.0	-1	0	0.0
310	17100.0	17160.0	-1	0	0.0
268	14580.0	14640.0	-1	0	0.0
951	60060.0	60120.0	-1	0	0.0
724	45540.0	45600.0	-1	1	0.0
101	4560.0	4620.0	-1	0	0.0
104	4740.0	4800.0	-1	0	0.0
572	33930.0	33990.0	-1	4	0.0
696	43140.0	43200.0	-1	2	0.0
767	48660.0	48720.0	-1	3	0.0
981	61860.0	61920.0	-1	0	0.0
1164	72840.0	72900.0	-1	0	0.0
824	52440.0	52500.0	-1	0	0.0
344	19140.0	19200.0	-1	0	0.0
943	59580.0	59640.0	-1	0	0.0
355	19800.0	19860.0	-1	0	0.0
130	6300.0	6360.0	-1	0	0.0
392	22020.0	22080.0	-1	0	0.0
498	28380.0	28440.0	-1	0	0.0
1137	71220.0	71280.0	-1	0	0.0
637	38190.0	38250.0	-1	2	0.0
45	1200.0	1260.0	-1	0	0.0
244	13140.0	13200.0	-1	0	0.0
844	53640.0	53700.0	-1	0	0.0
545	31530.0	31590.0	-1	4	0.0
1246	77760.0	77820.0	-1	0	0.0
588	34890.0	34950.0	-1	4	0.0
507	28920.0	28980.0	-1	0	0.0
992	62520.0	62580.0	-1	0	0.0
189	9840.0	9900.0	-1	0	0.0
1016	63960.0	64020.0	-1	0	0.0
469	26640.0	26700.0	-1	0	0.0
1244	77640.0	77700.0	-1	0	0.0
600	35790.0	35850.0	-1	2	0.0
1115	69900.0	69960.0	-1	0	0.0
670	41280.0	41340.0	-1	-1	0.0
473	26880.0	26940.0	-1	0	0.0
1	31440.0	31500.0	-1	4	0.0
812	51690.0	51750.0	-1	0	0.0
554	32310.0	32370.0	-1	2	0.0
823	52380.0	52440.0	-1	0	0.0
500	28500.0	28560.0	-1	0	0.0
928	58680.0	58740.0	-1	0	0.0
1223	76380.0	76440.0	-1	0	0.0
897	56820.0	56880.0	-1	0	0.0
455	25800.0	25860.0	-1	0	0.0
40	900.0	960.0	-1	0	0.0
529	30240.0	30300.0	-1	0	0.0
253	13680.0	13740.0	-1	0	0.0
261	14160.0	14220.0	-1	0	0.0
979	61740.0	61800.0	-1	0	0.0
533	30480.0	30540.0	-1	0	0.0
1254	78240.0	78300.0	-1	0	0.0
975	61500.0	61560.0	-1	0	0.0
452	25620.0	25680.0	-1	0	0.0
645	39360.0	39420.0	-1	4	0.0
163	8280.0	8340.0	-1	0	0.0
541	30990.0	31050.0	-1	2	0.0
797	50700.0	50760.0	-1	0	0.0
1043	65580.0	65640.0	-1	0	0.0
1005	63300.0	63360.0	-1	0	0.0
730	45900.0	45960.0	-1	0	0.0
745	46860.0	46920.0	-1	2	0.0
485	27600.0	27660.0	-1	0	0.0
327	18120.0	18180.0	-1	0	0.0
350	19500.0	19560.0	-1	0	0.0
360	20100.0	20160.0	-1	0	0.0
752	47400.0	47460.0	-1	2	0.0
1255	78300.0	78360.0	-1	0	0.0
362	20220.0	20280.0	-1	0	0.0
666	41040.0	41100.0	-1	-1	0.0
524	29940.0	30000.0	-1	0	0.0
242	13020.0	13080.0	-1	0	0.0
1165	72900.0	72960.0	-1	0	0.0
109	5040.0	5100.0	-1	0	0.0
437	24720.0	24780.0	-1	0	0.0
297	16320.0	16380.0	-1	0	0.0
398	22380.0	22440.0	-1	0	0.0
1139	71340.0	71400.0	-1	0	0.0
990	62400.0	62460.0	-1	0	0.0
1015	63900.0	63960.0	-1	0	0.0
1251	78060.0	78120.0	-1	0	0.0
993	62580.0	62640.0	-1	0	0.0
1092	68520.0	68580.0	-1	0	0.0
1224	76440.0	76500.0	-1	0	0.0
1124	70440.0	70500.0	-1	0	0.0
491	27960.0	28020.0	-1	0	0.0
445	25200.0	25260.0	-1	0	0.0
699	43470.0	43530.0	-1	3	0.0
391	21960.0	22020.0	-1	0	0.0
233	12480.0	12540.0	-1	0	0.0
203	10680.0	10740.0	-1	0	0.0
283	15480.0	15540.0	-1	0	0.0
56	1860.0	1920.0	-1	0	0.0
568	33690.0	33750.0	-1	4	0.0
1230	76800.0	76860.0	-1	0	0.0
734	46140.0	46200.0	-1	1	0.0
275	15000.0	15060.0	-1	0	0.0
20	44340.0	44400.0	-1	4	0.0
1219	76140.0	76200.0	-1	0	0.0
798	50760.0	50820.0	-1	0	0.0
1141	71460.0	71520.0	-1	0	0.0
781	49620.0	49680.0	-1	-1	0.0
867	55020.0	55080.0	-1	0	0.0
931	58860.0	58920.0	-1	0	0.0
527	30120.0	30180.0	-1	0	0.0
604	36090.0	36150.0	-1	-1	0.0
606	36210.0	36270.0	-1	-1	0.0
394	22140.0	22200.0	-1	0	0.0
468	26580.0	26640.0	-1	0	0.0
544	31260.0	31320.0	-1	3	0.0
1189	74340.0	74400.0	-1	0	0.0
689	42690.0	42750.0	-1	2	0.0
404	22740.0	22800.0	-1	0	0.0
854	54240.0	54300.0	-1	0	0.0
983	61980.0	62040.0	-1	0	0.0
684	42270.0	42330.0	-1	2	0.0
180	9300.0	9360.0	-1	0	0.0
116	5460.0	5520.0	-1	0	0.0
304	16740.0	16800.0	-1	0	0.0
829	52740.0	52800.0	-1	0	0.0
630	37770.0	37830.0	-1	2	0.0
952	60120.0	60180.0	-1	0	0.0
42	1020.0	1080.0	-1	0	0.0
1220	76200.0	76260.0	-1	0	0.0
769	48780.0	48840.0	-1	2	0.0
1210	75600.0	75660.0	-1	0	0.0
873	55380.0	55440.0	-1	0	0.0
1157	72420.0	72480.0	-1	0	0.0
380	21300.0	21360.0	-1	0	0.0
411	23160.0	23220.0	-1	0	0.0
710	44520.0	44580.0	-1	2	0.0
1262	78720.0	78780.0	-1	0	0.0
722	45360.0	45420.0	-1	-1	0.0
461	26160.0	26220.0	-1	0	0.0
295	16200.0	16260.0	-1	0	0.0
152	7620.0	7680.0	-1	0	0.0
847	53820.0	53880.0	-1	0	0.0
374	20940.0	21000.0	-1	0	0.0
364	20340.0	20400.0	-1	0	0.0
660	40680.0	40740.0	-1	-1	0.0
